,地址,余额,占比,交易笔数
80,0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,169031993519583946228080,0.0017364981430348205,43
81,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,168453135929748288884808,0.0017305514278071214,132305
82,0x95cae6ec900d019265127f03c941bba668038834,168188443054284682028264,0.0017278321870459704,4
83,0xcc98164e4b9c8efdeb20c1a2625ef941cd02dc08,166421344799964704680446,0.0017096784471929808,4
84,0x28c6c06298d514db089934071355e5743bf21d60,164822722622045120866640,0.0016932554944396607,5718839
85,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,163400000000000000000048,0.00167863959161681,41
86,0xab07d12942d29cc2c4debf7051038dfedb5f6e19,159245374486154240002826,0.0016359583255465355,12
87,0x3ba25081d3935fcc6788e6220abcace39d58d95d,157738105878661066280068,0.0016204738655726115,68
88,0xae93ec389ae6fa1c788ed2e1d222460bb6d0177b,150001000000000000000404,0.0015409890904658084,6
89,0xfd898a0f677e97a9031654fc79a27cb5e31da34a,150000100000000042684446,0.0015409798445929054,30
90,0x367989c660881e1ca693730f7126fe0ffc0963fb,150000001000000000004224,0.0015409788275468855,5
91,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,150000001000000000004224,0.0015409788275468855,5
92,0x4b4a011c420b91260a272afd91e54accdafdfc1d,150000001000000000004224,0.0015409788275468855,5
93,0x7145cfedcf479bede20c0a4ba1868c93507d5786,150000000000000000000004,0.0015409788172736933,40
94,0xeddf8eb4984cc27407a568cae1c78a1ddb0c2c1b,150000000000000000000004,0.0015409788172736933,25
95,0xb8b6fe7f357adeab950ac6c270ce340a46989ce1,150000000000000000000004,0.0015409788172736933,4
96,0x0ff64c53d295533a37f913bb78be9e2adc78f5fe,150000000000000000000004,0.0015409788172736933,6
97,0x0e86733eab26cfcc04bb1752a62ec88e910b4cf5,150000000000000000000004,0.0015409788172736933,4
98,0x0518f5bb058f6215a0ff5f4df54dae832d734e04,150000000000000000000004,0.0015409788172736933,4
99,0x844ada2ed8ecd77a1a9c72912df0fcb8b8c495a7,150000000000000000000004,0.0015409788172736933,6
100,0xe35b0ef92452c353dbb93775e0df97cedf873c72,150000000000000000000004,0.0015409788172736933,4
101,0x828103b231b39fffce028562412b3c04a4640e64,150000000000000000000004,0.0015409788172736933,5
102,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,150000000000000000000004,0.0015409788172736933,4
103,0x8b83b9c4683aa4ec897c569010f09c6d04608163,150000000000000000000004,0.0015409788172736933,4
104,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,150000000000000000000004,0.0015409788172736933,4
105,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,150000000000000000000004,0.0015409788172736933,4
106,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,150000000000000000000004,0.0015409788172736933,4
107,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,150000000000000000000004,0.0015409788172736933,4
108,0x554f4476825293d4ad20e02b54aca13956acc40a,150000000000000000000004,0.0015409788172736933,4
109,0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,150000000000000000000004,0.0015409788172736933,4
110,0x7ae92148e79d60a0749fd6de374c8e81dfddf792,150000000000000000000004,0.0015409788172736933,4
111,0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,150000000000000000000004,0.0015409788172736933,5
112,0xd05e6bf1a00b5b4c9df909309f19e29af792422b,150000000000000000000004,0.0015409788172736933,4
113,0xca582d9655a50e6512045740deb0de3a7ee5281f,150000000000000000000004,0.0015409788172736933,4
114,0x19d599012788b991ff542f31208bab21ea38403e,150000000000000000000004,0.0015409788172736933,4
115,0x77afe94859163abf0b90725d69e904ea91446c7b,150000000000000000000004,0.0015409788172736933,4
116,0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,150000000000000000000004,0.0015409788172736933,4
117,0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,150000000000000000000004,0.0015409788172736933,4
118,0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,150000000000000000000004,0.0015409788172736933,4
119,0xfe01a216234f79cfc3bea7513e457c6a9e50250d,150000000000000000000004,0.0015409788172736933,4
120,0xba18ded5e0d604a86428282964ae0bb249ceb9d0,150000000000000000000004,0.0015409788172736933,4
